s_1	s_2	s_3	s_4	s_5	s_11	s_12	s_13	s_14	s_15	s_21	s_22	s_23	s_24	s_25	s_31	s_32	s_33	s_34	s_35	s_41	s_42	s_43	s_44	s_45	s_51	s_52	s_53	s_54	s_55
Indoxyl Sulfate_iso1	-0.950083464032003	0.096735473794815	-0.619525336061522	0.015518034486641	-0.154554728165407	-0.177985684150891	-0.202821696005759	0.479994721141068	-1.22890205827864	1.97828466521133	0.731703049034617	0.180642966356216	-1.08255507979671	0.12438744621078	-0.467289425064808	-0.941398160679186	-0.741683755210139	-0.311141996531807	-0.816182501859539	-1.2974420495976	0.485035471259928	-0.496577501602984	0.551148896444714	0.495071931223607	-1.2643620785116	0.514500054711906	-0.3598230430932	-0.189560398706769	1.23418594402586	0.605574200431766
Citrate_iso1	0.893548843329303	0.118844575391678	1.2156414371733	0.0705468539742353	0.0829614514771811	0.600266538532471	0.377488893819682	-0.129333828648021	0.224034092997227	0.399799043045034	-0.165827052068343	-0.0392840609686432	0.336939545944313	1.03586255238638	-0.150855755684123	-0.580631725848865	0.357225619978852	-0.943791304277248	-1.18036321619443	-0.677766017590981	-0.251326755210998	-0.326582665291108	0.699014785060755	0.542246479615854	-0.186746880570114	-0.532156096099766	-0.133989764643111	-0.686371044151006	-1.00423380085189	0.582115300936605
Caffeine	2.31038964376056	-0.91801343547184	1.18311761425118	-1.17018343795637	1.12275065918076	0.285051832486782	-0.517918534141195	0.382857277041604	1.9413037223859	-2.36462639409642	-1.45329383809192	0.473706692455345	1.93040468984609	0.384192478375783	1.36147381533507	1.15313641852988	1.44879845716243	0.180473252081468	0.232648399529471	0.871936232811754	0.385216517665687	0.675056928294597	0.831231948915818	0.525108899522942	1.61543602299002	0.213626082925094	1.0084792412757	-0.497678328898056	-1.05477692005203	-0.551041998499429
Biliverdin_iso1	0.434001147421433	-1.68593612570357	-0.132167526479799	-0.181241126533798	0.921625288758092	1.44163609527143	-0.505608461101112	0.0101970063861704	0.571064933911982	-1.75058506566732	0.879348560583907	0.506148005852295	0.692424583181073	-0.173906268219188	0.60798899602564	2.59989401993556	0.439650157563185	-0.467669164371525	0.309433152284506	1.19022930870035	-0.779102105264138	1.76490541561477	2.20396447208251	0.290548691657494	0.752391539954091	-0.0309231221229894	0.780669207009724	1.91342063887513	-0.0799141331849394	0.431672025230553
Lauroylcarnitine	0.403077539772261	-0.322168183854367	-0.0332928492784685	0.211775419622905	0.556490138951384	1.30133960339365	-0.697802728669639	0.928234849488306	-0.462397136394256	-0.0644908839818881	1.12301757439214	0.642738680004933	-0.453512533406195	0.328644712593164	-0.445593011087909	0.64773815296082	-0.483080262032312	0.0619691974526848	0.123752501999785	-0.23085997656831	0.252024512225071	0.197279686611298	1.16823018576597	0.700924190962269	0.0324139576343335	0.451669071747983	0.451365731011534	0.0793662344469982	0.188435860003598	0.635506235728764
Aspartame	0.192566730277314	-0.418982924843651	-0.339582465295827	0.64764546647129	0.267684227464601	-0.189711537308587	0.0610609865469293	0.00189144029743557	0.47436215056912	-0.336246552158958	0.00016545830730571	-0.273934065900213	0.452512855508168	0.245880463327587	0.618351799236422	-0.463793869205518	-0.314403041186679	-0.513240784258727	-0.406278178341012	-0.390605188457271	-0.296630602517951	0.236572650006239	0.213314970507627	0.260227769416167	0.190414278104563	0.119277451801202	-0.146460941792682	0.804970324276022	-0.0670665946377181	-0.348278800582076
Aniline	0.178065835973714	-0.0204704633988826	-0.190214990529188	0.118130105024451	-0.0937316736442495	-0.143157224117511	0.129344612884484	0.51578775612454	-0.58623264106767	0.387701748211318	0.0331903080980986	0.346851113691494	-0.35985150712524	0.602138601845715	0.431775512311246	-0.121282318695877	-0.509893381499133	-0.182101656686096	-0.396650605620239	-1.20178378097687	0.489004148350093	0.361706946289146	0.483612289771874	0.182714604142861	-0.329902747539173	-0.443456896623508	-0.51034278024969	0.233733064124232	0.130521207724171	0.286905443873884
6-Carboxyhexanoate	0.2027287780345	0.0549122662879847	-0.597194631649101	-0.681778798511717	-0.296004188080701	-0.159626144918406	-0.19697111672536	-0.122975588693868	0.186050988994418	-0.634728787486981	-0.135414644298001	0.529137451123475	0.447397345724405	0.232143546874415	3.79633703418769	-0.0713373644252179	0.314572129354735	-0.051126625815057	0.20508358027254	0.392682217375485	-0.665328504824433	0.110804527287702	0.481434694131042	0.00403596790086925	-0.605262248655248	-0.0137445557784665	0.383316276872973	-0.0796030843334568	3.55427603406842	-0.263995262370317
Isovalerylcarnitine	-0.0330963691101967	-1.1589337968632	-0.277735878484118	-0.0962112740499289	1.25344176898715	0.247474953318493	0.357647872252017	-0.304383533645664	0.205234150556206	-0.617657016649482	0.237960382490674	-0.689786718507709	-0.149131513328423	0.104000040510354	1.7489951905345	0.169136821931545	-0.746149688560481	-0.576861945890444	0.24001189619745	-0.234635460273907	-0.693452146029026	-0.182042366678279	0.667998830274035	0.623349792144129	0.685715838961069	0.428760384580159	0.437182535070552	1.58821263820148	0.597051568282222	-0.441147842597932
Indoxyl Sulfate_iso4	-0.721899074651427	-0.783782052883415	-0.784068363148904	-0.262667723499602	0.815269292795804	-0.375672264745128	-0.102861272436809	0.28383355185486	-0.800780421004105	-0.0134713167737962	0.348331646719576	0.137713177731656	-1.04338575972719	0.0948807308295909	1.07047747789178	0.0475373076292103	-0.502755232866851	-0.0960011982022027	0.680022369943216	-0.700963665371733	0.129836270172959	-0.797269279109613	0.2905832200927	0.318779574167912	0.432315701421413	0.206395872939942	0.53505499217583	0.81726311304461	0.81350841042439	-0.0111504694219251
Indoleacetaldehyde_iso2	-0.043406237366261	-0.556263564642534	0.057680069496736	-0.0579966075442671	0.170451196681203	-0.239210365536809	-0.124512054924858	0.10288518995741	-0.0949102725469188	-0.317010296097231	-0.486236621850072	0.174371884255203	0.316864393501145	0.259426895688784	0.874341923743747	-0.194069282395657	-0.287230923260882	-0.381823343762498	0.150976265010012	-0.756363616316839	-0.0584728569722515	-0.0471442005688675	0.486202537879631	0.434761084943763	0.14622647622864	0.108661942058342	0.0551013625704822	0.887973168160159	0.117279720037807	-0.256008567110147
Indole-3-Carboxaldehyde_iso1	-0.000250556321615718	-0.323368401856763	-0.32331370147423	0.518822285693865	0.175799371452876	0.608979040959355	-0.853674334497663	-0.70127077208531	0.271312402480156	-0.23593980205998	1.38200515768116	-0.0394243786606464	-0.0373022737919038	-0.206268813895758	-0.241007726408283	1.5855365041001	-1.01390302037182	-0.0496520694150937	-0.844859560060689	-1.01731740278077	-0.647693785851709	0.702892015319207	0.641108006717063	0.459395984590695	0.200075787330318	0.60308961368907	0.154794913766345	0.496187389594732	-0.457750335239303	1.4514900828242
3-Methyl-2-Oxopentanoic Acid	0.0103443619262548	0.0945654312193228	-0.254115077880587	-0.270585469754571	0.032391156174175	0.218965429228927	-0.256693995902436	-0.140148252538973	-0.109976579336352	0.324730119555666	-0.066927023891437	0.294927845387174	-0.0848580334252794	0.0523453547172137	0.286841178756195	-0.447643149539817	-0.213113686658334	-0.156270450947947	-0.295308388530626	-0.579247008861019	-0.117080488205484	-0.020915490557773	0.632505319437259	0.460863664788828	-0.30517495067915	-0.00359961659365236	-0.258068824848167	-0.24307878943039	0.0329188279521539	0.301446723009651
Eicosadienoic Acid	5.58279271205422	5.63409342389768	0.0943489217757417	3.10568362911949	-2.401425090246	1.34848815627667	-1.46414953658024	5.13091245591736	-0.221958012313091	0.199185211026524	0.69975398690607	1.68113955841356	1.27140193341979	0.937847881776342	-2.54179962211666	0.214920754038146	-4.1648713250245	0.666329294558711	-1.13931280968701	-1.48311952984257	-2.32863780956719	-0.806937745148113	2.76132083898606	-0.346210840289431	-0.838830936925168	0.0618015328773053	-2.89401280814942	-1.08495191621658	-1.16406984953776	-2.05558677147233
_Linolenic Acid (18:3 N?3)	1.53312468260361	1.31310430254905	0.0560694089595377	2.09817602806472	-0.150915000419114	0.924151484132266	-0.163513202444645	1.01220804005562	0.522028885849464	0.386116573126472	1.4291595969187	0.96984627847613	0.939612663940693	1.57372592671268	-2.37888966260631	1.1130702624936	0.382887064253577	0.248127945395579	-0.948174120855253	1.37463312074293	1.354700903094	-0.643471886988741	-1.74191885205311	-1.1850283576613	0.422066886507643	-0.0877994533827052	0.32643544541234	-1.83569485949514	-1.19873325304077	0.320938402178217
Urate_iso2	-0.097365604022004	-0.407755884945212	-0.0285107916149952	0.126779062624815	0.436966444531012	0.131639329463482	0.0243944764531045	-0.179876456389725	-0.16958815275433	0.0109529497866939	0.00855883056320171	0.026631943277274	0.0656487103237288	0.129931286981456	0.237991099506976	-0.344722088131008	-0.396770989187117	-0.299122565792421	-0.293521037732836	-0.502150243792356	-0.0783192425185968	-0.0342336517903151	0.299164931256887	0.44742809223255	0.468442064601573	-0.082594778589967	0.028506248367977	0.382704280937043	0.137628544876923	0.0134196093387537
2-Keto-3-Deoxy-D-Gluconic Acid	0.270159039849385	-0.354987685532191	0.190544599058562	-0.581622974179212	-0.217885991608981	0.297074984959749	-0.172548994263111	-0.980628920323641	-0.64954368938618	0.179877287208383	0.400583921147971	-0.272438769005179	0.20251998209803	0.196732902568334	0.431632277502631	-0.346478031436981	0.143407351637549	-0.163890478847947	-0.188315425701899	0.190304653785908	-0.244039247597368	-0.190991833076047	0.287658452364794	0.969328514643764	0.592229987849785	-0.260495456290221	-0.15139210456273	-0.371060453594162	-0.0143137187190837	-0.436415869327834
Glycoursodeoxycholic Acid_iso2	-0.856618252608913	-1.04694344770886	-1.85168704657279	1.99545877342605	-0.166580857202219	-0.444957908841223	0.891508970490754	-0.890462911845633	-0.128264140934509	1.57301654740984	1.06508976913747	-1.08332724346145	-0.664155637617128	-1.37198485411896	0.926894838657527	-0.987608200189207	-1.65403828733021	-2.21159166125575	-1.35091742498376	-0.584198354099837	-1.20252910560648	1.25714878999015	0.0976954339287842	0.299309892273416	-0.0048182066096713	0.298478728958586	-1.43698992618473	1.26829882365209	0.620278255441158	-0.622875702021849
